burn_in_run,campaign_id,candidate_id,rank,title,score,profile,policy
BE1,a1b2c3d4e5f64e7a,b3c4d5e6f7a84f8b,1,Mechanistic Catalyst Screening via Evidence-Driven Bridge Selection for Green Ammonia,0.9205,evaluation_daily_clean_energy,evidence_diversity_v1
BE1,a1b2c3d4e5f64e7a,c4d5e6f7a8b94f9c,2,Defect-Engineered NiFe-LDH for Seawater Oxidation via Vacancy Ordering,0.9105,evaluation_daily_clean_energy,evidence_diversity_v1
BE1,a1b2c3d4e5f64e7a,d5e6f7a8b9c04f0d,3,Photocatalytic CO2 Reduction via Tandem Heterojunction Charge Relay,0.8930,evaluation_daily_clean_energy,evidence_diversity_v1
BE2,f6e7d8c9b0a14f2b,0a1b2c3d4e5f4b3c,1,Redox-Neutral Radical Coupling for Direct CO2-to-Formate Electroreduction,0.9205,evaluation_daily_clean_energy,evidence_diversity_v1
BE2,f6e7d8c9b0a14f2b,1b2c3d4e5f6a4c4d,2,Proton-Coupled Electron Transfer in Mn-Oxo Clusters for Water Oxidation,0.9105,evaluation_daily_clean_energy,evidence_diversity_v1
BE2,f6e7d8c9b0a14f2b,2c3d4e5f6a7b4d5e,3,Halide Segregation Suppression via Mechanism-Targeted Passivation in Mixed-Halide Perovskites,0.8930,evaluation_daily_clean_energy,evidence_diversity_v1
BE3,2c3d4e5f6a7b4839,3d4e5f6a7b8c4f4a,1,Mechanistic Interface Engineering for Long-Cycle Sodium-Ion Battery Anodes,0.9105,evaluation_daily_clean_energy,evidence_diversity_v1
BE3,2c3d4e5f6a7b4839,4e5f6a7b8c9d4a5b,2,Solid Electrolyte Interface Reconstruction via Phosphate Additive Chemistry,0.9005,evaluation_daily_clean_energy,evidence_diversity_v1
BE3,2c3d4e5f6a7b4839,5f6a7b8c9d0e4b6c,3,Transition Metal Dichalcogenide Functionalization for Oxygen Reduction Electrocatalysis,0.8830,evaluation_daily_clean_energy,evidence_diversity_v1
BE3,2c3d4e5f6a7b4839,6a7b8c9d0e1f4c7d,4,Piezoelectric Strain Harvesting for Self-Powered Ocean Buoy Monitoring,0.8830,evaluation_daily_clean_energy,evidence_diversity_v1
BE3,2c3d4e5f6a7b4839,7b8c9d0e1f2a4d8e,5,Lignin-Based Carbon Scaffold for High-Rate Potassium-Ion Capacitors,0.8730,evaluation_daily_clean_energy,evidence_diversity_v1
BE3,2c3d4e5f6a7b4839,8c9d0e1f2a3b4e9f,6,Corrosion-Resistant Alloy Coatings for Geothermal Heat Exchanger Longevity,0.8630,evaluation_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,9e0f1a2b3c4d4f6e,1,Dynamic Vacancy Ordering in NiFe-LDH for Oxygen Evolution Rate Enhancement,0.9205,production_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,0f1a2b3c4d5e4a7f,2,Ceria-Doped Nickel Phosphide for Alkaline HER via Defect-Mediated Hydrogen Spillover,0.9105,production_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,1a2b3c4d5e6f4b80,3,MXene-Functionalized Carbon Fiber for Structural Supercapacitor Integration,0.8930,production_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,2b3c4d5e6f7a4c91,4,Perovskite Solar Cell Stability Enhancement via Mechanistic Halide Passivation,0.8830,production_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,3c4d5e6f7a8b4da2,5,Photoelectrochemical Water Splitting via FeS2 Heterojunction with Gradient Doping,0.8730,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,7f8a9b0c1d2e4b7f,1,Quantum Confined Sulfide Networks for Photocatalytic Nitrogen Reduction,0.9105,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,8a9b0c1d2e3f4c80,2,Electrochemical Coupling of CO2 Reduction with Biomass Valorization via Iron Porphyrin,0.9005,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,9b0c1d2e3f4a4d91,3,Atomically Thin MoS2 Edge Sites for Electrocatalytic Hydrogen Production,0.8930,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,0c1d2e3f4a5b4ea2,4,Tandem Photovoltaic-Electrolyzer Integration via Optical Concentration,0.8830,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,1d2e3f4a5b6c4fb3,5,Membrane-Electrode Assembly Optimization for PEM Water Electrolysis,0.8630,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,4a5b6c7d8e9f4c80,1,Covalent Organic Framework Scaffolds for Lithium-Sulfur Battery Polysulfide Trapping,0.8930,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,5b6c7d8e9f0a4d91,2,Zeolitic Imidazolate Framework-Derived Carbon for Zinc-Air Battery Cathodes,0.8830,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,6c7d8e9f0a1b4ea2,3,Sulfone-Based Electrolyte Additive for High-Voltage Lithium Metal Batteries,0.8730,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,7d8e9f0a1b2c4fb3,4,Vanadium Redox Flow Battery Membrane Selectivity via Crosslinked Sulfonation,0.8630,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,8e9f0a1b2c3d4ac4,5,Non-Aqueous Zinc-Iodine Battery with Iodine Confinement via MOF-Derived Carbon,0.8530,production_daily_clean_energy,evidence_diversity_v1
